Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
ALLIED BANK,91,10522,"MULBERRY, AR",9/23/2016,DIF,PA ,SM ,FAILURE,"64,713","66,336","6,880",Mulberry,AR,Today's Bank,35.500642,-94.051592
THE WOODBURY BANKING COMPANY,11297,10521,"WOODBURY, GA",8/19/2016,DIF,PA ,NM ,FAILURE,"21,122","21,426","5,225",Woodbury,GA,United Bank,32.983739,-84.582703
FIRST CORNERSTONE BANK,35312,10520,"KING OF PRUSSIA, PA",5/6/2016,DIF,PA ,NM ,FAILURE,"101,040","103,307","12,482",King of Prussia,PA,First-Citizens Bank & Trust Company,40.101286,-75.383553
TRUST COMPANY BANK,9956,10519,"MEMPHIS, TN",4/29/2016,DIF,PA ,NM ,FAILURE,"20,148","18,998","10,931",Memphis,TN,The Bank of Fayette County,35.149534,-90.04898
NORTH MILWAUKEE STATE BANK,20364,10518,"MILWAUKEE, WI",3/11/2016,DIF,PA ,NM ,FAILURE,"61,493","67,115","11,846",Milwaukee,WI,First-Citizens Bank & Trust Company,43.038902,-87.906474
HOMETOWN NATIONAL BANK,35156,10517,"LONGVIEW, WA",10/2/2015,DIF,PA ,N ,FAILURE,"3,705","3,785","1,615",Longview,WA,Twin City Bank,46.138168,-122.938167
THE BANK OF GEORGIA,35259,10516,"PEACHTREE CITY, GA",10/2/2015,DIF,PA ,NM ,FAILURE,"264,234","286,102","28,610",Peachtree City,GA,Fidelity Bank,33.396856,-84.596343
PREMIER BANK,34112,10515,"DENVER, CO",7/10/2015,DIF,PA ,SM ,FAILURE,"25,480","26,760","4,262",Denver,CO,"United Fidelity Bank, fsb",39.739236,-104.990251
EDGEBROOK BANK,57772,10514,"CHICAGO, IL",5/8/2015,DIF,PA ,NM ,FAILURE,"90,007","90,034","22,216",Chicago,IL,Republic Bank of Chicago,41.878114,-87.629798
CAPITOL CITY BANK & TRUST COMPANY,33938,10512,"ATLANTA, GA",2/13/2015,DIF,PA ,NM ,FAILURE,"262,652","272,311","99,487",Atlanta,GA,First-Citizens Bank & Trust Company,33.748995,-84.387982
HIGHLAND COMMUNITY BANK,20290,10511,"CHICAGO, IL",1/23/2015,DIF,PA ,NM ,FAILURE,"53,453","54,727","5,571",Chicago,IL,"United Fidelity Bank, fsb",41.878114,-87.629798
FIRST NATIONAL BANK OF CRESTVIEW,17557,10510,"CRESTVIEW, FL",1/16/2015,DIF,PA ,N ,FAILURE,"73,199","73,804","6,891",Crestview,FL,First NBC Bank,30.754181,-86.572799
NORTHERN STAR BANK,34983,10509,"MANKATO, MN",12/19/2014,DIF,PA ,NM ,FAILURE,"18,221","18,794","6,005",Mankato,MN,BankVista,44.163578,-93.9994
"FRONTIER BANK, FSB",34738,10508,"PALM DESERT, CA",11/7/2014,DIF,PA ,SA ,FAILURE,"76,344","80,736","2,905",Palm Desert,CA,"Bank of Southern California, N.A.",33.722245,-116.374456
THE NATIONAL REPUBLIC BANK OF CHICAGO,916,10507,"CHICAGO, IL",10/24/2014,DIF,PA ,N ,FAILURE,"809,638","843,118","56,947",Chicago,IL,State Bank of Texas,41.878114,-87.629798
NBRS FINANCIAL BANK,4862,10506,"RISING SUN, MD",10/17/2014,DIF,PA ,SM ,FAILURE,"151,559","155,353","20,027",Rising Sun,MD,Howard Bank,39.697887,-76.062727
"GREENCHOICE BANK, FSB",28462,10505,"CHICAGO, IL",7/25/2014,DIF,PA ,SA ,FAILURE,"68,722","70,286","18,412",Chicago,IL,"Providence Bank, LLC",41.878114,-87.629798
EASTSIDE COMMERCIAL BANK,58125,10504,"CONYERS, GA",7/18/2014,DIF,PA ,NM ,FAILURE,"166,875","173,946","38,334",Conyers,GA,Community & Southern Bank,33.66761,-84.01769
THE FREEDOM STATE BANK,12483,10503,"FREEDOM, OK",6/27/2014,DIF,PA ,NM ,FAILURE,"20,855","22,816","4,663",Freedom,OK,Alva State Bank & Trust Company,36.76892,-99.112879
VALLEY BANK,10450,10502,"MOLINE, IL",6/20/2014,DIF,PA ,NM ,FAILURE,"359,953","456,442","52,893",Moline,IL,Great Southern Bank,41.5067,-90.515134
VALLEY BANK,21793,10501,"FORT LANDERDALE, FL",6/20/2014,DIF,PA ,NM ,FAILURE,"66,541","81,843","5,605",Fort Lauderdale,FL,"Landmark Bank, National Association",26.122439,-80.137317
SLAVIE FEDERAL SAVINGS BANK,32368,10500,"BEL AIR, MD",5/30/2014,DIF,PA ,SA ,FAILURE,"111,142","140,063","10,954",Bel Air,MD,"Bay Bank, FSB",39.535941,-76.348293
COLUMBIA SAVINGS BANK,32284,10499,"CINCINNATI, OH",5/23/2014,DIF,PA ,SB ,FAILURE,"29,538","36,484","7,224",Cincinnati,OH,"United Fidelity Bank, fsb",39.103118,-84.51202
AZTECAMERICA BANK,57866,10498,"BERWYN, IL",5/16/2014,DIF,PA ,NM ,FAILURE,"65,031","66,309","21,715",Berwyn,IL,Republic Bank of Chicago,41.850587,-87.793668
ALLENDALE COUNTY BANK,15062,10497,"FAIRFAX, SC",4/25/2014,DIF,PA ,NM ,FAILURE,"49,356","49,498","22,648",Fairfax,SC,Palmetto State Bank,32.959048,-81.236495
VANTAGE POINT BANK,58531,10496,"HORSHAM, PA",2/28/2014,DIF,PA ,NM ,FAILURE,"62,472","63,453","9,358",Horsham,PA,First Choice Bank,40.178442,-75.128506
"MILLENNIUM BANK, NATIONAL ASSOCIATION",35096,10495,"STERLING, VA",2/28/2014,DIF,PA ,N ,FAILURE,"121,704","130,305","11,609",Sterling,VA,WashingtonFirst Bank,39.006699,-77.42913
SYRINGA BANK,34296,10494,"BOISE, ID",1/31/2014,DIF,PA ,NM ,FAILURE,"145,813","153,361","3,487",Boise,ID,Sunwest Bank,43.61871,-116.214607
THE  BANK OF UNION,17967,10493,"EL RENO, OK",1/24/2014,DIF,PA ,NM ,FAILURE,"315,843","317,172","97,605",El Reno,OK,BancFirst,35.532274,-97.955049
DUPAGE NATIONAL BANK,5732,10492,"WEST CHICAGO, IL",1/17/2014,DIF,PA ,N ,FAILURE,"51,878","53,524","1,530",West Chicago,IL,Republic Bank of Chicago,41.884751,-88.203961
"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",57431,10491,"THE WOODLANDS, TX",12/13/2013,DIF,PA ,N ,FAILURE,"142,640","159,257","14,625",The Woodlands,TX,"Spirit of Texas Bank, SSB",30.165821,-95.461262
BANK OF JACKSON COUNTY,14794,10490,"GRACEVILLE, FL",10/30/2013,DIF,PA ,NM ,FAILURE,"24,591","24,724","5,849",Graceville,FL,First Federal Bank of Florida,30.95685,-85.516599
FIRST NATIONAL BANK,14318,10488,"EDINBURG, TX",9/13/2013,DIF,PA ,N ,FAILURE,"2,338,335","3,085,764","647,440",Edinburg,TX,PlainsCapital Bank,26.301737,-98.163343
THE COMMUNITY'S BANK,57041,10489,"BRIDGEPORT, CT",9/13/2013,DIF,PO ,NM ,FAILURE,"25,715","26,368","9,211",Bridgeport,CT,No Acquirer,41.186548,-73.195177
COMMUNITY SOUTH BANK,19849,10486,"PARSONS, TN",8/23/2013,DIF,PA ,NM ,FAILURE,"377,672","386,908","134,396",Parsons,TN,"CB&S Bank, Inc.",35.649791,-88.126702
SUNRISE BANK OF ARIZONA,34707,10487,"PHOENIX, AZ",8/23/2013,DIF,PA ,NM ,FAILURE,"196,924","202,179","15,391",Phoenix,AZ,"First Fidelity Bank, National Association",33.448377,-112.074037
BANK OF WAUSAU,35016,10485,"WAUSAU, WI",8/9/2013,DIF,PA ,NM ,FAILURE,"40,663","43,564","14,135",Wausau,WI,Nicolet National Bank,44.959135,-89.630122
FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,34943,10484,"FORT MYERS, FL",8/2/2013,DIF,PA ,NM ,FAILURE,"243,618","247,315","24,933",Fort Myers,FL,C1 Bank,26.640628,-81.872308
MOUNTAIN NATIONAL BANK,34789,10483,"SEVIERVILLE, TN",6/7/2013,DIF,PA ,N ,FAILURE,"373,366","437,282","33,292",Sevierville,TN,"First Tennessee Bank, National Association",35.868145,-83.561835
1ST COMMERCE BANK,58358,10482,"NORTH LAS VEGAS, NV",6/6/2013,DIF,PA ,NM ,FAILURE,"19,579","20,152","6,223",North Las Vegas,NV,Plaza Bank,36.198859,-115.117501
BANKS OF WISCONSIN,35386,10478,"KENOSHA, WI",5/31/2013,DIF,PA ,NM ,FAILURE,"127,590","134,024","23,567",Kenosha,WI,"North Shore Bank, FSB",42.584742,-87.821185
CENTRAL ARIZONA BANK,34527,10479,"SCOTTSDALE, AZ",5/14/2013,DIF,PA ,NM ,FAILURE,"30,822","31,550","5,425",Scottsdale,AZ,Western State Bank,33.49417,-111.926052
SUNRISE BANK,58185,10481,"VALDOSTA, GA",5/10/2013,DIF,PA ,NM ,FAILURE,"57,775","60,793","18,924",Valdosta,GA,Synovus Bank,30.832702,-83.278485
PISGAH COMMUNITY BANK,58701,10480,"ASHEVILLE, NC",5/10/2013,DIF,PA ,NM ,FAILURE,"21,246","21,880","7,943",Asheville,NC,"Capital Bank, N.A.",35.595058,-82.551487
DOUGLAS COUNTY BANK,21649,10476,"DOUGLASVILLE, GA",4/26/2013,DIF,PA ,NM ,FAILURE,"315,326","317,288","97,102",Douglasville,GA,Hamilton State Bank,33.751497,-84.747714
PARKWAY BANK,57158,10477,"LENOIR, NC",4/26/2013,DIF,PA ,NM ,FAILURE,"104,709","109,642","16,490",Lenoir,NC,"CertusBank, National Association",35.91402,-81.538985
CHIPOLA COMMUNITY BANK,58034,10473,"MARIANNA, FL",4/19/2013,DIF,PA ,NM ,FAILURE,"37,067","37,471","7,920",Marianna,FL,First Federal Bank of Florida,30.77436,-85.226874
HERITAGE BANK OF NORTH FLORIDA,26680,10475,"ORANGE PARK, FL",4/19/2013,DIF,PA ,NM ,FAILURE,"106,348","103,960","25,231",Orange Park,FL,FirstAtlantic Bank,30.166074,-81.706484
FIRST FEDERAL BANK,29594,10474,"LEXINGTON, KY",4/19/2013,DIF,PA ,SA ,FAILURE,"87,196","92,982","7,767",Lexington,KY,Your Community Bank,38.040584,-84.503716
GOLD CANYON BANK,58066,10472,"GOLD CANYON, AZ",4/5/2013,DIF,PA ,SM ,FAILURE,"41,728","42,125","8,263",Gold Canyon,AZ,"First Scottsdale Bank, National Association",33.359341,-111.45003
FRONTIER BANK,16431,10471,"LAGRANGE, GA",3/8/2013,DIF,PA ,NM ,FAILURE,"224,108","258,840","74,344",LaGrange,GA,HeritageBank of the South,33.036222,-85.032244
COVENANT BANK,22476,10470,"CHICAGO, IL",2/15/2013,DIF,PA ,NM ,FAILURE,"54,202","58,422","19,576",Chicago,IL,Liberty Bank and Trust Company,41.878114,-87.629798
1ST REGENTS BANK,57157,10469,"ANDOVER, MN",1/18/2013,DIF,PA ,NM ,FAILURE,"49,147","49,626","12,229",Andover,MN,First Minnesota Bank,45.233298,-93.29134
WESTSIDE COMMUNITY BANK,33997,10468,"UNIVERSITY PLACE, WA",1/11/2013,DIF,PA ,NM ,FAILURE,"91,879","91,935","22,860",University Place,WA,Sunwest Bank,47.235654,-122.550404
COMMUNITY BANK OF THE OZARKS,27331,10467,"SUNRISE, MO",12/14/2012,DIF,PA ,NM ,FAILURE,"41,881","42,816","15,044",Sunrise Beach,MO,Bank of Sullivan,38.175865,-92.784355
HOMETOWN COMMUNITYBANK,57928,10466,"BRASELTON, GA",11/16/2012,DIF,PA ,NM ,FAILURE,"108,931","124,561","39,665",Braselton,GA,"CertusBank, National Association",34.109274,-83.762673
HERITAGE BANK OF FLORIDA,35009,10465,"LUTZ, FL",11/2/2012,DIF,PA ,NM ,FAILURE,"223,309","225,477","76,094",Lutz,FL,Centennial Bank,28.151124,-82.461483
CITIZENS FIRST NATIONAL BANK,3731,10464,"PRINCETON, IL",11/2/2012,DIF,PA ,N ,FAILURE,"869,440","923,959","33,033",Princeton,IL,Heartland Bank and Trust Company,41.368092,-89.464814
NOVA BANK,27148,10463,"BERWYN, PA",10/26/2012,DIF,PO ,SB ,FAILURE,"395,248","444,710","90,508",Berwyn,PA,No Acquirer,40.045824,-75.439593
EXCEL BANK,19189,10460,"SEDALIA, MO",10/19/2012,DIF,PA ,NM ,FAILURE,"173,670","186,113","29,104",Sedalia,MO,Simmons First National Bank,38.704461,-93.228261
FIRST EAST SIDE SAVINGS BANK,28144,10461,"TAMARAC, FL",10/19/2012,DIF,PA ,SA ,FAILURE,"64,888","65,686","12,370",Tamarac,FL,Stearns Bank N.A.,26.212861,-80.249771
GULFSOUTH PRIVATE BANK,58073,10462,"DESTIN, FL",10/19/2012,DIF,PA ,NM ,FAILURE,"131,579","139,391","45,347",Destin,FL,SmartBank,30.393534,-86.495783
FIRST UNITED BANK,20685,10459,"CRETE, IL",9/28/2012,DIF,PA ,NM ,FAILURE,"316,877","328,422","43,765",Crete,IL,"Old Plank Trail Community Bank, National Association",41.444479,-87.631431
TRUMAN BANK,27316,10458,"ST. LOUIS, MO",9/14/2012,DIF,PA ,SM ,FAILURE,"245,716","282,338","39,498",St. Louis,MO,Simmons First National Bank,38.627003,-90.199404
FIRST COMMERCIAL BANK,35246,10457,"BLOOMINGTON, MN",9/7/2012,DIF,PA ,NM ,FAILURE,"206,809","215,867","65,238",Bloomington,MN,Republic Bank & Trust Company,44.840798,-93.29828
WAUKEGAN SAVINGS BANK,28243,10456,"WAUKEGAN, IL",8/3/2012,DIF,PA ,SB ,FAILURE,"73,001","83,679","23,518",Waukegan,IL,First Midwest Bank,42.363633,-87.844794
JASPER BANKING COMPANY,16240,10455,"JASPER, GA",7/27/2012,DIF,PA ,NM ,FAILURE,"204,238","206,672","53,178",Jasper,GA,Stearns Bank N.A.,34.469552,-84.428989
SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,27986,10453,"CHICAGO, IL",7/20/2012,DIF,PA ,SA ,FAILURE,"171,627","190,891","86,692",Chicago,IL,Hinsdale Bank & Trust Company,41.878114,-87.629798
HEARTLAND BANK,1361,10452,"LEAWOOD, KS",7/20/2012,DIF,PA ,NM ,FAILURE,"89,723","96,002",636,Leawood,KS,Metcalf Bank,38.966673,-94.616901
GEORGIA TRUST BANK,57847,10451,"BUFORD, GA",7/20/2012,DIF,PA ,NM ,FAILURE,"114,748","116,890","25,525",Buford,GA,Community & Southern Bank,34.120656,-84.004351
THE ROYAL PALM BANK OF FLORIDA,57096,10454,"NAPLES, FL",7/20/2012,DIF,PA ,NM ,FAILURE,"78,876","78,771","16,848",Naples,FL,First National Bank of the Gulf Coast,26.142036,-81.79481
FIRST CHEROKEE STATE BANK,32711,10450,"WOODSTOCK, GA",7/20/2012,DIF,PA ,NM ,FAILURE,"182,114","209,021","36,215",Woodstock,GA,Community & Southern Bank,34.101487,-84.519375
GLASGOW SAVINGS BANK,1056,10449,"GLASGOW, MO",7/13/2012,DIF,PA ,NM ,FAILURE,"21,809","22,341","1,396",Glasgow,MO,Regional Missouri Bank,39.227251,-92.846576
MONTGOMERY BANK & TRUST,19498,10448,"AILEY, GA",7/6/2012,DIF,PA ,NM ,FAILURE,"164,181","153,208","73,148",Ailey,GA,Ameris Bank,32.187404,-82.565689
PUTNAM STATE BANK,27405,10445,"PALATKA, FL",6/15/2012,DIF,PA ,NM ,FAILURE,"160,024","169,489","29,815",Palatka,FL,Harbor Community Bank,29.64858,-81.637582
THE FARMERS BANK OF LYNCHBURG,1690,10447,"LYNCHBURG, TN",6/15/2012,DIF,PA ,NM ,FAILURE,"156,402","163,859","33,106",Lynchburg,TN,Clayton Bank and Trust,35.283024,-86.374021
SECURITY EXCHANGE BANK,35299,10446,"MARIETTA, GA",6/15/2012,DIF,PA ,NM ,FAILURE,"147,896","150,962","48,141",Marietta,GA,Fidelity Bank,33.952602,-84.549933
CAROLINA FEDERAL SAVINGS BANK,35372,10441,"CHARLESTON, SC",6/8/2012,DIF,PA ,SA ,FAILURE,"53,082","54,373","18,529",Charleston,SC,Bank of North Carolina,32.776475,-79.931051
WACCAMAW BANK,34515,10444,"WHITEVILLE, NC",6/8/2012,DIF,PA ,SM ,FAILURE,"472,704","533,114","34,249",Whiteville,NC,First Community Bank,34.33878,-78.703072
FIRST CAPITAL BANK,416,10443,"KINGFISHER, OK",6/8/2012,DIF,PA ,NM ,FAILURE,"44,828","44,448","8,725",Kingfisher,OK,F & M Bank,35.861432,-97.93172
FARMERS' AND TRADERS' STATE BANK,9257,10442,"SHABBONA, IL",6/8/2012,DIF,PA ,NM ,FAILURE,"42,302","43,077","10,201",Shabbona,IL,First State Bank,41.768085,-88.877031
"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",35224,10440,"SYLACAUGA, AL",5/18/2012,DIF,PA ,N ,FAILURE,"45,149","51,553","10,672",Sylacauga,AL,Southern States Bank,33.173172,-86.251641
"SECURITY BANK, NATIONAL ASSOCIATION",23156,10439,"NORTH LAUDERDALE, FL",5/4/2012,DIF,PA ,N ,FAILURE,"99,067","101,026","15,098",North Lauderdale,FL,Banesco USA,26.217305,-80.225881
PALM DESERT NATIONAL BANK,23632,10437,"PALM DESERT, CA",4/27/2012,DIF,PA ,N ,FAILURE,"129,023","129,253","26,331",Palm Desert,CA,Pacific Premier Bank,33.722245,-116.374456
BANK OF THE EASTERN SHORE,26759,10434,"CAMBRIDGE, MD",4/27/2012,DIF,PO ,SM ,FAILURE,"150,951","162,460","61,641",Cambridge,MD,No Acquirer,38.563174,-76.078829
"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",31495,10436,"MAPLE GROVE, MN",4/27/2012,DIF,PA ,SA ,FAILURE,"458,053","463,840","70,213",Maple Grove,MN,Great Southern Bank,45.072464,-93.455788
PLANTATION FEDERAL BANK,32503,10438,"PAWLEYS ISLAND, SC",4/27/2012,DIF,PA ,SA ,FAILURE,"415,943","433,512","83,230",Pawleys Island,SC,First Federal Bank,33.433224,-79.121431
HARVEST BANK OF MARYLAND,57766,10435,"GAITHERSBURG, MD",4/27/2012,DIF,PA ,NM ,FAILURE,"145,534","163,019","26,694",Gaithersburg,MD,Sonabank,39.143441,-77.20137
"FORT LEE FEDERAL SAVINGS BANK, FSB",35527,10433,"FORT LEE, NJ",4/20/2012,DIF,PA ,SA ,FAILURE,"47,786","48,861","12,726",Fort Lee,NJ,Alma Bank,40.850933,-73.970138
FIDELITY BANK,33883,10432,"DEARBORN, MI",3/30/2012,DIF,PA ,NM ,FAILURE,"747,640","818,237","97,182",Dearborn,MI,The Huntington National Bank,42.32226,-83.176314
CONVENANT BANK & TRUST,58068,10430,"ROCK SPRING, GA",3/23/2012,DIF,PA ,NM ,FAILURE,"90,632","95,725","31,695",Rock Spring,GA,"Stearns Bank, N.A.",34.824209,-85.240609
PREMIER BANK,35419,10431,"WILMETTE, IL",3/23/2012,DIF,PA ,NM ,FAILURE,"198,953","268,703","71,134",Wilmette,IL,International Bank of Chicago,42.072251,-87.722838
NEW CITY BANK,57597,10429,"CHICAGO, IL",3/9/2012,DIF,PO ,NM ,FAILURE,"72,399","71,202","14,253",Chicago,IL,No Acquirer,41.878114,-87.629798
GLOBAL COMMERCE BANK,34046,10428,"DORAVILLE, GA",3/2/2012,DIF,PA ,NM ,FAILURE,"116,813","143,678","41,445",Doraville,GA,Metro City Bank,33.898158,-84.283256
HOME SAVINGS OF AMERICA,29178,10427,"LITTLE FALLS, MN",2/24/2012,DIF,PO ,SA ,FAILURE,"432,223","434,111","70,307",Little Falls,MN,No Acquirer,45.980556,-94.369444
CENTRAL BANK OF GEORGIA,5687,10426,"ELLAVILLE, GA",2/24/2012,DIF,PA ,NM ,FAILURE,"266,589","278,860","53,990",Ellaville,GA,Ameris Bank,32.238214,-84.30908
CHARTER NATIONAL BANK AND TRUST,23187,10424,"HOFFMAN ESTATES, IL",2/10/2012,DIF,PA ,N ,FAILURE,"89,485","93,894","20,202",Hoffman Estates,IL,"Barrington Bank & Trust Company, National Association",42.062992,-88.12272
SCB BANK,29761,10425,"SHELBYVILLE, IN",2/10/2012,DIF,PA ,SA ,FAILURE,"171,365","182,561","39,698",Shelbyville,IN,"First Merchants Bank, National Association",39.521437,-85.776924
TENNESSEE COMMERCE BANK,35296,10423,"FRANKLIN, TN",1/27/2012,DIF,PA ,NM ,FAILURE,"1,037,716","1,009,154","351,638",Franklin,TN,Republic Bank & Trust Company,35.925064,-86.86889
PATRIOT BANK MINNESOTA,34823,10422,"FOREST LAKE, MN",1/27/2012,DIF,PA ,NM ,FAILURE,"102,833","105,029","35,509",Forest Lake,MN,First Resource Bank,45.278856,-92.985218
BANKEAST,19869,10420,"KNOXVILLE, TN",1/27/2012,DIF,PA ,SM ,FAILURE,"259,571","261,947","74,064",Knoxville,TN,"U.S. Bank, N.A.",35.960638,-83.920739
FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,16579,10421,"JACKSONVILLE, FL",1/27/2012,DIF,PA ,NM ,FAILURE,"378,309","397,082","54,383",Jacksonville,FL,"CenterState Bank of Florida, N.A.",30.332184,-81.655651
THE FIRST STATE BANK,19252,10419,"STOCKBRIDGE, GA",1/20/2012,DIF,PA ,NM ,FAILURE,"509,065","516,760","203,985",Stockbridge,GA,Hamilton State Bank,33.544278,-84.233809
AMERICAN EAGLE SAVINGS BANK,31581,10417,"BOOTHWYN, PA",1/20/2012,DIF,PA ,SA ,FAILURE,"17,548","19,259","4,842",Boothwyn,PA,"Capital Bank, N.A.",39.830112,-75.441584
CENTRAL FLORIDA STATE BANK,57186,10418,"BELLEVIEW, FL",1/20/2012,DIF,PA ,NM ,FAILURE,"71,080","71,485","13,697",Belleview,FL,"CenterState Bank of Florida, N.A.",29.055258,-82.062310
WESTERN NATIONAL BANK,57917,10416,"PHOENIX, AZ",12/16/2011,DIF,PA ,N ,FAILURE,"144,491","162,872","41,735",Phoenix,AZ,Washington Federal,33.448377,-112.074037
